Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	101	dan	copula	0	##	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	102	dan	copula	n	V	prs	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	109	agan	auxiliary	0	##	rec	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	121	dan	copula	n	#	prs	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	143	gogon	auxiliary	n	##	rem	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	154	dan	copula	0	C	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	165	allan	auxiliary	0	C	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	174	dan	copula	0	C	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	175	bogon	auxiliary	n	#	fut	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	188	allan	auxiliary	0	V	prs	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	190	allan	auxiliary	0	C	prs	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	194	dan	copula	0	##	prs	2
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	195	dan	copula	0	##	prs	1
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	198	dan	copula	0	##	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	199	dan	copula	0	##	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	202	dan	copula	0	##	prs	3
DSS	Malam	M	62+	Ddɨliag	Yawinang	Y	212	dan	copula	0	##	prs	2
ESS	Malam	F	30-45	Yamkong	Pallong	Y	16	gogon	auxiliary	n	##	rem	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	41	allan	auxiliary	n	C	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	52	dan	copula	n	C	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	55	dan	copula	n	V	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	81	dan	copula	n	#	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	82	dan	copula	n	C	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	84	dan	copula	n	V	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	96	dan	copula	n	V	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	98	dan	copula	0	C	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	101	dan	copula	n	##	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	104	allan	auxiliary	0	##	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	105	gogon	auxiliary	n	##	rem	3
