Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person	Syllabicity	Word_class	Genre
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	150	allan	auxiliary	0	##	prs	1			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	151	allan	auxiliary	0	##	prs	1			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	152	allan	auxiliary	0	##	prs	1			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	153	dan	copula	n	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	154	allan	auxiliary	0	C	prs	1			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	155	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	156	allan	auxiliary	0	C	prs	1			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	157	dan	copula	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	173	allan	auxiliary	0	##	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	177	dan	copula	n	V	prs	3			
BZZ	Limol	F	62+	Dd?liag	Dumollang	N	178	dan	copula	n	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	7	gogon	auxiliary	n	V	rem	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	15	allan	auxiliary	0	##	prs	1			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	16	allan	auxiliary	0	##	prs	1			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	17	allan	auxiliary	0	##	prs	1			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	18	allan	auxiliary	0	##	prs	1			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	19	allan	auxiliary	0	##	prs	1			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	21	allan	auxiliary	0	##	prs	1			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	26	dan	copula	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	27	dan	copula	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	29	dan	copula	0	#	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	31	allan	auxiliary	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	40	dan	copula	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	42	dan	copula	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	45	allan	auxiliary	0	##	prs	1			
