Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	092	agan	auxiliary	n	##	rec	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	096	agan	auxiliary	n	##	rec	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	102	agan	auxiliary	n	C	rec	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	120	dan	copula	n	#	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	124	gogon	auxiliary	0	##	rem	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	125	gogon	auxiliary	0	##	rem	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	129	allan	auxiliary	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	131	dan	copula	0	#	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	132	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	133	dan	copula	0	C	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	137	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	142	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	143	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	144	allan	auxiliary	n	##	prs	1
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	145	dan	copula	0	C	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	147	dan	copula	n	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	151	dan	copula	0	##	prs	3
AKK	Malam	F	46-61	Ddɨliag	Bodenang	Y	152	dan	copula	n	C	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	004	dan	copula	0	##	prs	1
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	010	dan	copula	0	V	prs	1
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	012	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	025	agan	auxiliary	0	C	rec	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	027	agan	auxiliary	0	##	rec	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	029	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	030	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	031	dan	copula	0	C	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	037	allan	auxiliary	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	038	allan	auxiliary	n	##	prs	1
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	040	allan	auxiliary	n	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	052	dan	copula	0	C	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	055	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	060	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	067	allan	auxiliary	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	074	allan	auxiliary	0	##	prs	1
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	082	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	085	allan	auxiliary	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	095	dan	copula	0	##	prs	3
AMJ	Limol	F	15-29	Yamkong	Bobeag	N	096	allan	auxiliary	0	C	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	009	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	010	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	032	allan	auxiliary	0	##	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	034	allan	auxiliary	0	##	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	049	dan	copula	0	C	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	050	dan	copula	0	##	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	051	allan	auxiliary	0	##	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	052	dan	copula	0	V	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	061	dan	copula	0	V	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	067	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	068	gogon	auxiliary	n	##	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	072	dan	copula	0	#	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	080	gogon	auxiliary	n	V	rem	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	092	dan	copula	0	#	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	093	allan	auxiliary	0	##	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	103	allan	auxiliary	0	C	prs	1
AMM	Malam	M	62+	Yamkong	Dumang	Y	109	dan	copula	n	C	prs	3
AMM	Malam	M	62+	Yamkong	Dumang	Y	122	allan	auxiliary	n	V	prs	1
